name	NM_003194:TBP	NM_007344:TTF1	NM_014078:MRPL13	NM_000190:HMBS	NM_002332:LRP1
R141	1175	139	116	481	18412
R142	36762	6198	468	5546	48598
R143	1532	93	378	976	15854
R144	5597	39	192	3487	7555
R146	24833	2743	348	3986	32533
R147	21864	4622	1769	4842	28487
R156	5527	0	0	1657	9755
R157	827	20	105	635	4887
R159	14006	12015	2190	8918	16801
R160	21672	3507	765	8154	70379
R162	2374	44	196	755	5601
R163	16332	4225	950	5541	28507
R164	5282	722	113	966	16178
R165	14926	12262	2014	12702	20062
R166	4968	940	135	939	9583
R167	21879	2615	746	5544	32168
R168	28787	1950	628	5522	42310
R170	27048	1748	271	5211	37961
R171	23753	1255	251	9570	33239
R172	12442	575	407	8711	23661
R173	12268	3918	1403	15150	35959
R174	836	2071	332	2638	5647
R175	31625	1435	745	8481	42505
R176	227	17	170	350	553
R177	16068	4494	1800	13031	31061
R179	3565	388	72	837	9324
R181	36424	2546	575	6887	51492
R187	9188	4838	1365	6333	37097
R188	12445	9533	1535	14035	25689
R191	16031	7652	1938	6318	18871
R192	602	19	10	67	1224
R193	2766	581	47	159	4178
R194	214	0	16	37	691
R195	255	0	0	146	559
R196	418	40	32	199	3011
R197	11899	3313	805	3158	36028
R198	805	99	14	106	3478
R199	1217	78	28	125	4683
R202	6749	204	64	847	9736
R203	4468	97	64	1283	16979
R204	25114	1288	151	2321	22899
R205	7602	8396	2207	16939	37931
R209	6386	173	28	220	7619
R210	6100	832	90	656	11418
R211	9639	213	132	4230	5915
R213	29830	1569	371	1082	19571
R214	495	24	24	48	196
R215	3874	638	230	1474	4326
R216	13047	2758	967	6455	24569
R217	823	2502	520	401	1695
R220	916	615	144	325	4902
R224	22739	210	1839	3088	9787
R225	17456	277	411	2656	44109
R228	1001	241	104	736	6939
R229	1155	224	84	551	8535
R230	27920	1136	113	1317	19551
R231	748	5763	656	536	1182
R232	2114	348	527	1549	11763
R233	14607	2905	1502	9401	65096
R234	843	4384	344	308	1062
R235	811	2258	276	465	936
R236	2662	182	232	612	6865
R237	8921	3828	1095	17085	60232
R240	25585	4795	568	5039	40445
R241	15512	1508	476	2351	38102
R242	25318	254	665	2486	88053
R243	1149	233	217	893	9060
R244	6153	10154	1015	6003	22791
R245	995	300	64	330	5580
R246	2793	92	180	523	16350
R247	1526	366	202	527	10049
R248	954	555	432	492	8818
R250	16533	1858	519	1412	24430
R251	1340	225	284	671	9258
R252	7101	356	77	458	10442
R254	1835	274	258	1245	8878
R255	3458	13212	1779	2272	6174
R256	19373	104	274	546	57854
R258	6096	700	131	699	12031
R260	15195	2298	917	915	22253
R261	13353	1380	421	1422	28485
R262	4473	187	87	378	17398
R263	610	40	51	37	4638
R264	14608	1274	238	1308	29113
R265	282	8	28	241	3469
R266	998	585	232	726	3223
R267	449	139	40	194	3751
R269	17732	36	230	1180	29965
R273	1402	28	36	112	6705
R275	1896	822	126	248	5467
R276	1675	442	20	66	4095
R277	10747	1079	274	838	13375
R77	5477	7	48	3610	1580
