name	AKAP9-BRAF.A8B9.COSF1013	BRD4-C15orf55.B11C2.COSF780	CCDC6-RET.C1R12.COSF1271	CCDC6-RET.C2R12.COSF1515	EML4-ALK.E13A20.COSF408	EML4-ALK.E14A20.COSF1064	EML4-ALK.E18A20.COSF487	EML4-ALK.E20A20.COSF409	EML4-ALK.E2A20.COSF478	EML4-ALK.E6A19.COSF1296	EML4-ALK.E6A20.COSF411	ERC1_ELKS-RET.E11R12.COSF1507	GOLGA5_PTC5-RET.G7R12.COSF1503	HOOK3-RET.H11R12.COSF1509	KIF5B-RET.K15R11.COSF1255	KIF5B-RET.K15R12.COSF1232	KIF5B-RET.K16R12.COSF1230	KIF5B-RET.K22R12.COSF1253	KIF5B-RET.K23R12.COSF1234	KIF5B-RET.K24R8.COSF1236	KIF5B-RET.K24R11.COSF1262	KTN1-RET.K29R12.COSF1513	MKRN1-BRAF.M4B11.COSF1444	PAX8-PPARG.P8P2.COSF1215	PAX8-PPARG.P9P2.COSF1217	PAX8-PPARG.P10P2.COSF1219	PAX8-PPARG.P7P2.COSF1223	PCM1_PTC4-RET.P29R12.COSF1481	PRKAR1A-RET.P7R12.COSF1511	TPM3-NTRK1.T7N10.COSF1329	TPR-NTRK1.T21N10.COSF1326	TRIM24_PTC6-RET.T9R12.COSF1521	TRIM27-RET.T3R12.COSF1519	TRIM33_PTC7-RET.T16R12.COSF1525	BRD4-C15orf55.B11C1.COSF972	KIF5B-ALK.K15A20.COSF1381	KIF5B-ALK.K15A20.COSF1060	KIF5B-ALK.K17A20.COSF1257	KIF5B-ALK.K24A20.COSF1058	NCOA4-RET.N8R11.COSF1500	NCOA4-RET.N8R12.COSF1498	TFG-NTRK1.T5N10.COSF1328	KIF5B-RET.K24R7.COSF1242	CCDC6-RET.C8R11.COSF1518	PAX8-PPARG.P10P1	AGK-BRAF.A2B8	ERC1-RET.E5R12	ERC1-RET.E6R12	EZR-ERBB4.E11E18	NCOA4-RET.N6R12	PCM1-RET.P31R12	PRKAR1A-RET.P8R12	TFG-NTRK1.T5N9	TPR-MET.T4M11	TRIM27-RET.R6R10	TRIM33-RET.T14R12	NCOA4-RET.N7R12.COSF1341	EML4-ALK.E17A20.COSF1366.1	EML4-ALK.E6A17	EML4-ALK.E6A18	EML4-ALK.E7A20.NGS	ERC1-RET.E12R12	ERC1-RET.E17R12	ERC1-RET.E7R12	ETV6-NTRK3.E4N15.COSF823	ETV6-NTRK3.E5N15.COSF571	FGFR2-OFD1.F17O3	FKBP15-RET.F25R12	SND1-BRAF.S16B9	SQSTM1-NTRK1.S5N10	SSBP2-NTRK1.S12N12	TBL1XR1-RET.T9R11.NGS	TBL1XR1-RET.T9R12	TFG-NTRK1.T6N10	AKAP13-RET.A36R12	CREB3L2-PPARG.C2P3	MACF1-BRAF.M42B10	POR-BRAF.P3B11	THADA-IGF2BP3.T28I4	THADA-IGF2BP3.T30I4	TRIM24-RET.T10R12	KIF5B-ALK.K15A19.COSF1061	ETV6-NTRK3.E4N14.COSF1535	STRN-ALK.S3A20.COSF1430	AFAP1L2-RET.A2R12	AP3B1-BRAF.A22B9	BANP-NTRK1.B4N11	CCDC149-ALK.C10A20	CCNY-BRAF.C1B9	ERC1-BRAF.E12B10	FAM114A2-BRAF.F8B10	FAM114A2-BRAF.F9B10	GFPT1-ALK.G17A20	GTF2IRD1-ALK.G7A19	IRF2BP2-NTRK1.I1N9	IRF2BP2-NTRK1.I2N9	MYH13-RET.M35R12	PICALM-BRAF.P19B8	PPFIBP2-RET.P9R12	RBPMS-NTRK3.R4N12	SPECC1L-RET.S10R12	SPECC1L-RET.S9R12	SQSTM1-NTRK3.S5N14	SQSTM1-RET.S5R12	SQSTM1-RET.S6R12	SS18-SLC5A11.S5S17	TFG-MET.T5M15	UACA-LTK.U17L10	UACA-LTK.U17L11	ZBTB8A-BRAF.Z4B9	ZC3HAV1-BRAF.Z7B11
R141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0
R142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	18	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4881	0	0	9	0
R143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0
R144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
R146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2251	0	0	0	0
R147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	20	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13543	0	0	0	0
R156	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0
R157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0
R159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	6	0	0	0	0	0	0	315	0	0	0	0	0	0	3	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7186	0	0	2	0
R160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	6	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	174	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4247	0	0	39	0
