name	ALK_5p.E1E2.ENST00000389048	BRAF_5p.E1E2.ENST00000288602	ERBB4_5p.E1E2.ENST00000342788	FGFR2_5p.E1E2.ENST00000358487	LTK_5p.E1E2.ENST00000263800	MET_5p.E1E2.ENST00000397752	NTRK1_5p.E1E2.ENST00000392302	NTRK3_5p.E1E2.ENST00000394480	RAF1_5p.E1E2.ENST00000251849	RET_5p.E1E2.ENST00000355710	ROS1_5p.E1E2.ENST00000368508	THADA_5p.E1E2.ENST00000415080
R141	0.1023470944250356	0.0301628696550706	0.0007380800078728	0.1272449933572799	0.0090045760960488	0.0086601387590414	4.920533385819023e-05	0.0	0.00054125867244	0.0023618560251931	0.0003936426708655	0.0699699847463465
R142	0.0974357397614069	0.0166851145820522	0.0010453818718484	0.0403906858524986	0.0040790390685852	0.0146763415734022	8.199073504693969e-05	0.0	0.0014553355470831	0.0003279629401877	0.0015783216496535	0.0153937605050629
R143	0.0004247862794031	0.0533106780650984	0.0021239313970158	0.2023575638506876	0.0004247862794031	0.0014867519779111	0.0	0.0	0.0	0.0	0.0	0.0592576859767429
R144	0.1583283935981031	0.1521043272080616	0.0628334321280379	0.3176644931831653	0.0024303497332542	0.0187314759928867	0.0	0.0117960877296976	0.0095435684647302	0.0646117368109069	0.0228808535862477	0.1014226437462952
R146	0.0039569852427726	0.0160762223980882	0.0023586735564762	0.0403612494762813	0.0045776888102664	0.002032804183542	0.0001862110702481	0.0002482814269975	6.207035674937542e-05	0.0018310755241065	0.0	0.0178917803330074
R147	0.0322323980254611	0.07831579631073	0.0059593400883346	0.1371135359833723	0.0031826448428163	0.0494121849831125	0.0	0.0	0.0013315146791374	0.0	0.0312094050402702	0.0631170433878929
R156	0.2898045929511778	0.4321978865340339	0.0063758191156502	0.2792372631206092	0.0	0.0	0.0	0.0025975559360056	0.0	0.118011689001712	0.0037782631796446	0.0014168486923667
R157	0.0633302440531356	0.1288229842446709	0.0027803521779425	0.5339820821748532	0.0080321285140562	0.0407784986098239	0.0	0.0	0.0	0.0940685820203892	0.0	0.044794562866852
R159	0.1665492304839607	0.0966437975152976	0.0402188021509364	0.1532542184312998	0.0072501390691637	0.0213795661042091	0.0010198405340255	0.012961246059707	0.0207862043389579	0.0283144817355831	0.3284813647320601	0.113702948266271
R160	0.1018023105563904	0.0208562650152665	0.0014740086334791	0.0601567809182882	0.0077337595834489	0.0190855403581649	0.0	0.0	0.0004115738392182	0.0003828593853192	0.0048240282550226	0.0098394862027049
R162	0.0060200668896321	0.2	0.0	0.5079152731326645	0.0	0.0062430323299888	0.0	0.0008918617614269	0.0001114827201783	0.0008918617614269	0.0	0.0445930880713489
R163	0.0169381693816938	0.021420214202142	0.0100621006210062	0.0497884978849788	0.0021240212402124	0.0088380883808838	0.0	0.0001440014400144	0.0014220142201422	0.0005580055800558	0.0	0.0080460804608046
R164	0.1143544989467348	0.0391642663685998	0.0195606379777309	0.0491810326297235	0.0013756932204118	0.0025794247882722	8.598082627574051e-05	0.0	0.0	0.1081638794548815	0.0	0.0146597308800137
R165	0.0175580156860213	0.0695865474615111	0.0245941322660814	0.21022818965239	0.0011619275086337	0.0107155536907336	0.0007100668108317	0.0043733660394409	0.0053093631991737	0.0935835780912113	0.0001936545847722	0.082206371235839
R166	0.1964986417144582	0.0348324781165107	0.0050709326894053	0.0692423785089043	0.0030787805614246	0.0258376094174464	0.0	0.0047087232115907	0.0	0.0051313009357078	0.0	0.029580440688198
R167	0.0579489134578726	0.0243995425085779	0.000762485703393	0.0483701868089973	0.0015726267632481	0.0156627271571991	0.0	0.0001906214258482	0.0017791333079171	0.0022239166348964	0.0	0.0113102046003304
R168	0.0258595653875778	0.0169198328219503	0.000782857936538	0.0355947826306552	0.000252534818238	0.0428551586549995	0.0	0.0005303231182999	0.0004040557091809	0.0006565905274189	0.0	0.0064901448287182
R170	0.0386079541521892	0.0163485098077215	0.0016611525630199	0.0480211520093024	0.0086795221417793	0.0109497639779066	0.0	0.0001107435042013	8.305762815099877e-05	2.7685876050332923e-05	0.0027685876050332	0.0113512091806364
R171	0.0	0.0177910324969148	0.0006757947934418	0.0861491449726743	0.0011606041017805	0.0010136921901627	0.0	0.0	0.0001616031027795	0.0	0.0	0.0210965505083152
R172	0.0015503537426849	0.0119442746091361	0.0008297667918595	0.0469036597082714	0.00179054939296	0.0020307450432352	0.0	0.0	0.0001746877456546	0.0	0.0	0.0471656913267534
R173	0.0598561821304841	0.0508893999825322	0.0003639116131473	0.0582840839616873	0.0026056071501353	0.0107135578910594	0.0003493551486215	0.0004366939357768	0.0042504876415616	0.001251855949227	0.0029695187632827	0.0628693702873446
R174	0.0	0.0821763276640055	0.0038181187087816	0.2890489413398125	0.005206525511975	0.005206525511975	0.0	0.0	0.002690038181187	0.0006942034015966	0.0	0.1348490107601527
R175	0.0021346605182153	0.012914106449977	9.434963616421556e-05	0.0695828566711089	0.0007783844983547	0.0016982934509558	0.0	0.0	0.0006132726350674	0.0	0.0	0.0056138033517708
R176	1.3933181473044798	0.3082763857251329	0.0	1.0508731966590736	0.0516324981017463	0.1693242217160212	0.0	0.0	0.0	0.0030372057706909	0.0	0.3804100227790433
R177	0.0549101634213139	0.0532097390676257	0.000948024197189	0.2204532458542751	0.0081861137027116	0.0241821410298853	0.0	0.0003611520751196	0.0034760887230264	0.0023474884882776	0.1410599813404761	0.0641195413368646
