name	total	unmapped	total_with_MAPQ60	on_target	controls_07_sum	controls_integrity	controls_mean_fraction
R141	75816.0	16096.0	58907.0	0.7859422813126516	20323.0	0.9809818023845152	1.0
R142	457142.0	37487.0	417367.0	0.9159648424340796	97572.0	0.9483137331130334	1.0
R143	65130.0	16230.0	48370.0	0.7473053892215569	18833.0	0.9753482831840076	1.0
R144	180747.0	293.0	180308.0	0.9982240369134756	16870.0	0.9318897420317076	1.0
R146	392300.0	26601.0	364148.0	0.930484323222024	64443.0	0.9421766718325096	1.0
R147	425281.0	31467.0	387625.0	0.9236669402112956	61584.0	0.9478982283858456	1.0
R156	444236.0	1812.0	442120.0	0.9956014370739876	16939.0	0.9929655900111378	0.6
R157	33002.0	5791.0	26996.0	0.8234652445306345	6474.0	0.959822090437361	1.0
R159	471458.0	15612.0	452626.0	0.964717960030374	53930.0	0.8682981806472387	1.0
R160	398044.0	51887.0	341707.0	0.8666705188371134	104477.0	0.9548254432462072	1.0
R162	50679.0	13410.0	36464.0	0.7328084610982852	8970.0	0.9776566757493188	1.0
R163	410698.0	27556.0	380186.0	0.9287700451426596	55555.0	0.951202807978769	1.0
R164	108057.0	10312.0	97045.0	0.9040228768150144	23261.0	0.9622321502440638	1.0
R165	501856.0	21374.0	473844.0	0.9558917298986164	61966.0	0.8959932908225972	1.0
R166	84747.0	7516.0	76425.0	0.9073005534119202	16565.0	0.9554158495789596	1.0
R167	407554.0	26400.0	378079.0	0.931243467123375	62952.0	0.9509652859603008	1.0
R168	401656.0	21953.0	377786.0	0.9433694504750334	79197.0	0.9681784841075796	1.0
R170	440506.0	27776.0	410012.0	0.9353107562666568	72239.0	0.9559722626578092	1.0
R171	443089.0	37617.0	402014.0	0.913667457327986	68068.0	0.9403216002652374	1.0
R172	404051.0	52088.0	348203.0	0.8673286293066964	45796.0	0.947627620170919	1.0
R173	422550.0	32450.0	384224.0	0.9168761093361733	68698.0	0.9545100872561552	1.0
R174	77894.0	11223.0	64661.0	0.8436464939533211	11524.0	0.9771070035611328	1.0
R175	428559.0	45410.0	377845.0	0.879514839263672	84791.0	0.967701806644526	1.0
R176	20219.0	4340.0	15726.0	0.7808496958306543	1317.0	0.8602220770738079	1.0
R177	424364.0	36658.0	384043.0	0.9086114750544344	66454.0	0.9603040418491062	1.0
R179	77177.0	8059.0	68637.0	0.8934527125957216	14186.0	0.9609158030210662	1.0
R181	490385.0	32560.0	454265.0	0.9287518990181184	97924.0	0.959427815607701	1.0
R187	381269.0	47485.0	328810.0	0.8647411669975792	58821.0	0.9644684200170526	1.0
R188	416892.0	31090.0	375020.0	0.9158079310708768	63237.0	0.94254158468968	1.0
R191	514177.0	73494.0	430456.0	0.8558784231889018	50810.0	0.9033049476435135	1.0
R192	17141.0	5612.0	11443.0	0.6716060906598215	1922.0	0.9963711767755312	1.0
R193	74325.0	32042.0	41983.0	0.5677497477295661	7731.0	0.983087487283825	1.0
R194	5817.0	1595.0	4181.0	0.7246003094378546	958.0	0.9917184265010353	0.8
R195	11780.0	4674.0	7049.0	0.601018675721562	960.0	0.9667673716012084	0.6
R196	22169.0	5641.0	16338.0	0.7430646398123506	3700.0	0.9803921568627452	1.0
R197	398027.0	41414.0	354258.0	0.8891205872968416	55203.0	0.9749735075944896	1.0
R198	30104.0	4515.0	25464.0	0.8482925857028967	4502.0	0.974247998268773	1.0
R199	23076.0	4064.0	18876.0	0.8228462471832206	6131.0	0.987596649484536	1.0
R202	114695.0	10951.0	102767.0	0.9018701774270892	17600.0	0.967032967032967	1.0
R203	92698.0	17327.0	74387.0	0.8117003603098233	22891.0	0.978917208347588	1.0
R204	403202.0	85268.0	311038.0	0.7844827158595443	51773.0	0.9737257852172276	1.0
R205	421465.0	91053.0	324843.0	0.78141719953021	73075.0	0.981280801407297	1.0
R209	87431.0	20905.0	65791.0	0.7596275920440119	14426.0	0.9719059489321564	1.0
R210	344421.0	138963.0	201552.0	0.593723959921143	19096.0	0.97832880782827	1.0
R211	361533.0	109268.0	246727.0	0.6975324520859784	20129.0	0.9822857700566074	1.0
R213	342893.0	118629.0	221781.0	0.652635078581365	52423.0	0.9824584418748478	1.0
R214	59078.0	34353.0	24508.0	0.4181928975253055	787.0	0.9911838790931988	1.0
R215	81429.0	15480.0	65327.0	0.8080904837342961	10542.0	0.9797397769516728	1.0
R216	379314.0	38923.0	338015.0	0.8933021190886706	47796.0	0.9668257949672304	1.0
R217	70610.0	18481.0	50910.0	0.7327149129018553	5941.0	0.9829583057577764	1.0
R220	79340.0	37978.0	40762.0	0.5201033526594404	6902.0	0.9908125179443008	1.0
R224	327911.0	104215.0	222726.0	0.6814775960550271	37663.0	0.917781514243244	1.0
R225	376579.0	83989.0	291402.0	0.7762142870420283	64909.0	0.984932172012989	1.0
R228	63482.0	17305.0	45587.0	0.7260010711697804	9021.0	0.9815036448699817	1.0
R229	64130.0	17486.0	46232.0	0.7257289879931389	10549.0	0.9874567069175324	1.0
R230	351510.0	84006.0	265778.0	0.7588944837984695	50037.0	0.9559079186168687	1.0
R231	73951.0	18292.0	54876.0	0.7465889575529743	8885.0	0.9789554869986778	1.0
R232	80361.0	17710.0	61796.0	0.7778524408606164	16301.0	0.9852523420973104	1.0
R233	387467.0	60562.0	322944.0	0.8398082933514338	93511.0	0.9715731399420242	1.0
R234	69084.0	25623.0	42748.0	0.6276272364078513	6941.0	0.9871995448727066	1.0
R235	73185.0	33807.0	38594.0	0.5362984218077474	4746.0	0.9830157415078709	1.0
R236	68915.0	24649.0	43523.0	0.6399767829935428	10553.0	0.986353864847182	1.0
R237	411161.0	76494.0	331330.0	0.8117987844177829	91161.0	0.976132348217154	1.0
R240	412779.0	50987.0	359690.0	0.8709382017980566	76432.0	0.9662583279604556	1.0
R241	339518.0	62731.0	275163.0	0.8095653249606796	57949.0	0.9767234114276084	1.0
R242	352263.0	71831.0	279014.0	0.7947726556578466	116776.0	0.9772213760899764	1.0
R243	66300.0	15876.0	49713.0	0.7579185520361991	11552.0	0.9864230210912815	1.0
R244	327672.0	41746.0	277212.0	0.8679838374960326	46116.0	0.961491149427684	1.0
R245	66293.0	23411.0	42371.0	0.646161736533269	7269.0	0.9842924847664184	1.0
R246	71510.0	12091.0	58782.0	0.8297860439099427	19938.0	0.9885467797114385	1.0
R247	69933.0	17260.0	52120.0	0.7509473353066507	12670.0	0.986452818436624	1.0
R248	70515.0	16483.0	53413.0	0.7643054669219315	11251.0	0.985373970923104	1.0
R250	396906.0	30637.0	363281.0	0.9212256806397484	44752.0	0.9648154536046912	1.0
R251	74187.0	11862.0	61667.0	0.837828730100961	11778.0	0.9831385642737897	1.0
R252	87132.0	11615.0	74653.0	0.8636895744387826	18434.0	0.9762219986231	1.0
R254	66656.0	15377.0	50685.0	0.7659775564090254	12490.0	0.9783800720664264	1.0
R255	330474.0	97514.0	229847.0	0.7019916846711087	26895.0	0.9777866647276958	1.0
R256	353559.0	148720.0	202051.0	0.5785597311905509	78151.0	0.9893533522382012	1.0
R258	86140.0	15162.0	70513.0	0.8222544694683074	19657.0	0.968611412240071	1.0
R260	368489.0	90373.0	275716.0	0.7535421681515595	41578.0	0.9877417209103436	1.0
R261	339298.0	41225.0	296180.0	0.8742550796055385	45061.0	0.9687412662581962	1.0
R262	77384.0	11049.0	65718.0	0.8559262896722837	22523.0	0.9832365652420656	1.0
R263	22306.0	4664.0	17456.0	0.7887115574284945	5376.0	0.98878057752437	1.0
R264	372456.0	33406.0	337479.0	0.9090979874132784	46541.0	0.9749869068817428	1.0
R265	21859.0	5473.0	16229.0	0.7474266892355551	4028.0	0.9795719844357976	1.0
R266	69419.0	34967.0	34028.0	0.4939569858396116	5764.0	0.9890185312285518	1.0
R267	30695.0	9132.0	21419.0	0.7024271053917576	4573.0	0.983018056749785	1.0
R269	323207.0	82715.0	239451.0	0.7434987484800762	49143.0	0.9612322738386307	1.0
R273	32553.0	7499.0	24710.0	0.7680705311338433	8283.0	0.9939997599903996	1.0
R275	68974.0	20922.0	47509.0	0.6950445095253284	8559.0	0.981987150068839	1.0
R276	77026.0	21849.0	54015.0	0.7129670500869836	6298.0	0.9725138974675726	1.0
R277	206687.0	31053.0	174574.0	0.8481617131217735	26313.0	0.9750250120428354	1.0
R77	238287.0	928.0	237207.0	0.9958915089786686	10722.0	0.9862938092171832	1.0
